window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,1.3586,3.1857,1.7849,2.4425
2,3514,2024-08-16,2024-08-29,14,1.0358,1.4712,1.213,1.8631
3,3528,2024-08-30,2024-09-12,14,1.1201,1.495,1.2227,2.0006
4,3542,2024-09-13,2024-09-26,14,0.9228,1.3167,1.1475,1.6503
5,3556,2024-09-27,2024-10-10,14,0.5996,0.4588,0.6774,1.0588
6,3570,2024-10-11,2024-10-24,14,0.7748,1.0262,1.013,1.3719
7,3584,2024-10-25,2024-11-07,14,0.7975,0.9669,0.9833,1.4214
8,3598,2024-11-08,2024-11-21,14,0.9436,1.2635,1.1241,1.6375
9,3612,2024-11-22,2024-12-05,14,0.7634,0.8437,0.9185,1.3496
10,3626,2024-12-06,2024-12-19,14,0.9236,1.3328,1.1545,1.6276
11,3640,2024-12-20,2025-01-02,14,1.0103,1.8605,1.364,1.8036
12,3654,2025-01-03,2025-01-16,14,1.1015,2.4793,1.5746,1.891
13,3668,2025-01-17,2025-01-30,14,0.4744,0.376,0.6132,0.8221
14,3682,2025-01-31,2025-02-13,14,0.5825,0.5721,0.7564,1.0252
15,3696,2025-02-14,2025-02-27,14,0.7118,0.6795,0.8243,1.2568
16,3710,2025-02-28,2025-03-13,14,0.7834,1.0706,1.0347,1.3537
17,3724,2025-03-14,2025-03-27,14,0.5613,0.7476,0.8646,0.9579
18,3738,2025-03-28,2025-04-10,14,0.7258,0.7867,0.887,1.2712
19,3752,2025-04-11,2025-04-24,14,1.2274,2.7493,1.6581,2.2314
20,3766,2025-04-25,2025-05-08,14,1.5548,4.4355,2.1061,2.665
21,3780,2025-05-09,2025-05-22,14,0.6881,1.0204,1.0101,1.186
22,3794,2025-05-23,2025-06-05,14,0.9078,1.177,1.0849,1.6052
23,3808,2025-06-06,2025-06-19,14,1.3232,3.4723,1.8634,2.3029
24,3822,2025-06-20,2025-07-03,14,1.237,2.1284,1.4589,2.1552
25,3836,2025-07-04,2025-07-17,14,1.22,2.5033,1.5822,2.0949
26,3850,2025-07-18,2025-07-31,14,1.242,1.9981,1.4136,2.2169
27,3864,2025-08-01,2025-08-14,14,1.0194,1.2916,1.1365,1.8325
28,3878,2025-08-15,2025-08-28,14,1.1395,2.5285,1.5901,2.1068
29,3892,2025-08-29,2025-09-11,14,3.1745,15.961,3.9951,5.2313
30,3906,2025-09-12,2025-09-25,14,3.4267,21.4665,4.6332,5.47
31,3920,2025-09-26,2025-10-09,14,1.2876,3.9627,1.9907,2.0813
32,3934,2025-10-10,2025-10-23,14,1.8323,5.8093,2.4102,2.9788
33,3948,2025-10-24,2025-11-06,14,1.4623,3.2234,1.7954,2.4178
34,3962,2025-11-07,2025-11-20,14,2.5682,9.6414,3.1051,4.3185
35,3976,2025-11-21,2025-12-04,14,1.6867,3.8801,1.9698,2.7704
36,3990,2025-12-05,2025-12-18,14,1.4106,4.4788,2.1163,2.4469
