window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,1.1333,1.5726,1.7589
2,3514,16AUG2024,29AUG2024,14,0.8917,1.2206,1.3795
3,3528,30AUG2024,12SEP2024,14,1.3991,1.5497,2.0875
4,3542,13SEP2024,26SEP2024,14,1.6320,1.7752,2.4073
5,3556,27SEP2024,10OCT2024,14,1.7412,1.8758,2.5537
6,3570,11OCT2024,24OCT2024,14,0.8651,1.0813,1.2710
7,3584,25OCT2024,07NOV2024,14,0.9231,1.2031,1.3720
8,3598,08NOV2024,21NOV2024,14,0.7183,0.8821,1.0608
9,3612,22NOV2024,05DEC2024,14,0.8867,0.9547,1.3053
10,3626,06DEC2024,19DEC2024,14,0.8932,1.1857,1.3349
11,3640,20DEC2024,02JAN2025,14,1.2117,1.5868,1.8274
12,3654,03JAN2025,16JAN2025,14,0.9751,1.1831,1.4306
13,3668,17JAN2025,30JAN2025,14,1.6445,1.8678,2.3693
14,3682,31JAN2025,13FEB2025,14,0.7104,1.0555,1.0577
15,3696,14FEB2025,27FEB2025,14,0.7700,1.1734,1.1507
16,3710,28FEB2025,13MAR2025,14,1.3543,1.5782,1.9368
17,3724,14MAR2025,27MAR2025,14,0.8160,1.1560,1.1906
18,3738,28MAR2025,10APR2025,14,1.3778,1.6208,2.0308
19,3752,11APR2025,24APR2025,14,1.4551,1.7875,2.1977
20,3766,25APR2025,08MAY2025,14,1.1981,1.9772,1.7177
21,3780,09MAY2025,22MAY2025,14,0.9131,1.1259,1.3642
22,3794,23MAY2025,05JUN2025,14,0.6906,1.0546,1.0454
23,3808,06JUN2025,19JUN2025,14,0.7294,1.0070,1.1016
24,3822,20JUN2025,03JUL2025,14,0.8707,1.1437,1.3166
25,3836,04JUL2025,17JUL2025,14,0.8232,1.2170,1.2534
26,3850,18JUL2025,31JUL2025,14,1.0857,1.5560,1.6666
27,3864,01AUG2025,14AUG2025,14,0.8226,1.1859,1.2655
28,3878,15AUG2025,28AUG2025,14,1.2284,1.6795,1.8817
29,3892,29AUG2025,11SEP2025,14,1.2938,1.3546,1.9361
30,3906,12SEP2025,25SEP2025,14,1.1856,1.2282,1.7732
31,3920,26SEP2025,09OCT2025,14,1.0313,1.1671,1.5284
32,3934,10OCT2025,23OCT2025,14,0.7521,0.8659,1.1168
33,3948,24OCT2025,06NOV2025,14,0.9928,1.1534,1.4617
34,3962,07NOV2025,20NOV2025,14,1.2201,1.3515,1.7780
35,3976,21NOV2025,04DEC2025,14,0.9084,1.0526,1.3291
36,3990,05DEC2025,18DEC2025,14,1.2519,1.5779,1.8493
